Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.750877375,0.02797015607,-0.001676433273,0.09796076098,0.1018894045
0.760903375,0.03319756687,-0.002384640723,0.1284761918,0.1327173568
0.770929375,0.0008484309912,-0.0001866358146,0.1192691843,0.1192723479
0.780955375,-0.02072662532,-0.02428831056,0.1418476228,0.1453969158
0.790981375,0.01338486135,-0.003265962303,0.1515188992,0.1521440036
0.801007375,-0.02704921961,-0.02494181,0.1258928919,0.1311593473
0.811033375,-0.03036809921,-0.006107087843,0.1183008671,0.1222890556
0.821059375,-0.03129020512,-0.0004332421347,0.1093850327,0.1137732394
0.831084375,-0.04283845603,-0.03282480687,0.1181628728,0.1299040637
0.841110375,-0.02684749067,-0.01679053556,0.1025285876,0.1073071345
0.851136375,-0.05935099304,-0.03185690995,0.1089851014,0.128121643
0.861162375,-0.05039715171,-0.01571165118,0.1015345609,0.1144377383
0.871188375,-0.06659160018,-0.009986021072,0.1054545708,0.1251192565
0.881214375,-0.07859534919,-0.008553526327,0.09220240474,0.1214564744
0.891240375,-0.08491326571,-0.02144046072,0.0845098261,0.1217040129
0.901266375,-0.079257254,-0.03081533812,0.09725673795,0.1291904426
0.911292375,-0.07195408165,-0.04783344001,0.1012328629,0.1330921499
0.921317375,-0.08022204459,-0.03902797177,0.116965363,0.1471042323
0.931343375,-0.1015105873,-0.04693972964,0.1250906539,0.1677957367
0.941369375,-0.1010971892,-0.03059625026,0.1274704889,0.1655460593
0.951395375,-0.1093645674,-0.03365138389,0.1457593918,0.1853073785
0.961421375,-0.08185751081,-0.02616248935,0.1654715069,0.1864562885
0.971447375,-0.04911017954,-0.02886086974,0.17356758,0.182675845
0.981473375,-0.01980393469,0.01218939811,0.1592301889,0.1609193286
0.991499375,-0.0496159637,0.02014109977,0.1689681602,0.1772502381
1.001525375,-0.06461056352,-0.003558469266,0.2096998644,0.2194566489
1.011551375,-0.04906340182,0.009833810739,0.2541714478,0.2590502771
1.021576375,-0.01554657698,0.01518309943,0.2153283942,0.2164221336
1.031602375,0.007338255644,0.003763962351,0.2284670877,0.2286158953
1.041628375,0.0456439501,0.01595094848,0.2319017057,0.2368885899
1.051654375,0.04877396464,0.01344198134,0.210498594,0.216493059
1.061680375,-0.01785271883,0.01416849788,0.233704987,0.234813728
1.071706375,-0.0006560575962,0.04721878801,0.2174743223,0.2225424122
1.081732375,-0.004253849387,0.03800434358,0.2135893957,0.2169858413
1.091758375,-0.02491966367,0.05377658654,0.187375195,0.1965257607
1.101784375,-0.005912119746,0.0616775636,0.1957273579,0.2053004472
1.111809375,-0.008303630948,0.06240411669,0.1801047854,0.1907903503
1.121835375,-0.05215540946,0.1029964014,0.1722788902,0.2073848149
1.131861375,-0.08657562912,0.08476887602,0.1878394639,0.2235279985
1.141887375,-0.03955349028,0.0848596175,0.1321201766,0.1619301526
1.151913375,-0.05030885875,0.05673739728,0.1262788081,0.1472971517
1.161939375,-0.09099612415,0.05242836479,0.1219798804,0.1609599927
1.171965375,-0.1149118209,0.03658990212,0.08965184927,0.1502697627
